LayerIndex,SlitNo,CenterPosition,Beta,PixelNo,PixelValue
1,1,2.4999999999999998e-05,4.9999999999999996e-05,4,1
1,5,0.000425,4.9999999999999996e-05,15,1
1,6,0.000525,4.9999999999999996e-05,1,1
1,7,0.000625,4.9999999999999996e-05,8,0
1,8,0.000725,4.9999999999999996e-05,10,1
1,10,0.0009249999999999999,4.9999999999999996e-05,15,1
1,13,0.001225,4.9999999999999996e-05,11,0
1,15,0.0014249999999999998,4.9999999999999996e-05,11,0
1,19,0.001825,4.9999999999999996e-05,7,1
1,24,0.002325,4.9999999999999996e-05,4,1
1,26,0.002525,4.9999999999999996e-05,9,1
1,30,0.002925,4.9999999999999996e-05,9,1
1,31,0.003025,4.9999999999999996e-05,6,1
1,32,0.0031249999999999997,4.9999999999999996e-05,5,0
1,33,0.003225,4.9999999999999996e-05,2,1
1,36,0.003525,4.9999999999999996e-05,7,1
1,41,0.004025,4.9999999999999996e-05,12,1
1,42,0.004125,4.9999999999999996e-05,8,0
1,44,0.004325,4.9999999999999996e-05,12,1
1,45,0.004425,4.9999999999999996e-05,14,1
1,46,0.0045249999999999995,4.9999999999999996e-05,13,1
1,47,0.004625,4.9999999999999996e-05,3,1
1,48,0.004725,4.9999999999999996e-05,14,1
1,49,0.004824999999999999,4.9999999999999996e-05,2,1
1,51,0.005025,4.9999999999999996e-05,1,1
1,52,0.005124999999999999,4.9999999999999996e-05,3,1
1,53,0.005225,4.9999999999999996e-05,13,1
1,55,0.005425,4.9999999999999996e-05,10,1
1,58,0.005725,4.9999999999999996e-05,5,0
1,59,0.0058249999999999994,4.9999999999999996e-05,6,1
2,1,2.4999999999999998e-05,4.9999999999999996e-05,4,1
2,5,0.000425,4.9999999999999996e-05,10,1
2,7,0.000625,4.9999999999999996e-05,14,1
2,8,0.000725,4.9999999999999996e-05,7,1
2,9,0.000825,4.9999999999999996e-05,4,1
2,11,0.0010249999999999999,4.9999999999999996e-05,5,0
2,13,0.001225,4.9999999999999996e-05,12,1
2,14,0.001325,4.9999999999999996e-05,7,1
2,15,0.0014249999999999998,4.9999999999999996e-05,8,0
2,21,0.002025,4.9999999999999996e-05,1,1
2,23,0.002225,4.9999999999999996e-05,6,1
2,26,0.002525,4.9999999999999996e-05,15,1
2,27,0.0026249999999999997,4.9999999999999996e-05,13,1
2,28,0.002725,4.9999999999999996e-05,11,0
2,30,0.002925,4.9999999999999996e-05,8,0
2,31,0.003025,4.9999999999999996e-05,12,1
2,34,0.003325,4.9999999999999996e-05,14,1
2,35,0.0034249999999999997,4.9999999999999996e-05,2,1
2,38,0.003725,4.9999999999999996e-05,9,1
2,46,0.0045249999999999995,4.9999999999999996e-05,5,0
2,47,0.004625,4.9999999999999996e-05,13,1
2,48,0.004725,4.9999999999999996e-05,3,1
2,49,0.004824999999999999,4.9999999999999996e-05,3,1
2,52,0.005124999999999999,4.9999999999999996e-05,2,1
2,54,0.005325,4.9999999999999996e-05,6,1
2,55,0.005425,4.9999999999999996e-05,9,1
2,56,0.0055249999999999995,4.9999999999999996e-05,11,0
2,57,0.005625,4.9999999999999996e-05,1,1
2,59,0.0058249999999999994,4.9999999999999996e-05,10,1
2,60,0.005925,4.9999999999999996e-05,15,1
